original_feature,importance,importance_pct
driver_last_10_top3_rate,0.32436192,0.32436192
constructor_pair_last_5_points,0.09682337,0.09682337
driver_points_prev,0.04714612,0.04714612
grid,0.030475186,0.030475186
constructor_pair_last_5_best_finish_position,0.030013863,0.030013863
constructor_pair_last_3_points,0.02484575,0.02484575
constructor_wins_prev,0.022727894,0.022727894
driver_last_5_top3_rate,0.022258695,0.022258695
constructor_pair_last_3_best_finish_position,0.021325795,0.021325795
constructor_last_10_top10_rate,0.017977873,0.017977873
driver_last_10_avg_finish_position,0.017141126,0.017141126
circuitId,0.01566275,0.01566275
driver_wins_prev,0.015081602,0.015081602
constructor_pair_last_3_avg_finish_position,0.012918869,0.012918869
constructor_pair_last_5_avg_finish_position,0.012750284,0.012750284
constructor_street_top10_rate_hist,0.01080603,0.01080603
constructor_last_5_top10_rate,0.010801999,0.010801999
constructor_speed_profile_finish_position_mean_hist,0.009442963,0.009442963
constructor_street_finish_position_mean_hist,0.008353424,0.008353424
grid_rank_within_race,0.008031826,0.008031826
driver_championship_position_mean_hist,0.0069035133,0.0069035133
driver_circuit_pit_time_total_hist,0.0066040684,0.0066040684
driver_last_10_dnf_rate,0.006351772,0.006351772
qualifying_position,0.005811896,0.005811896
driver_last_5_top10_rate,0.0056014955,0.0056014955
constructor_speed_profile_top10_rate_hist,0.0053740405,0.0053740405
constructor_last_3_top10_rate,0.005113905,0.005113905
constructor_aero_profile_top10_rate_hist,0.0051116683,0.0051116683
driver_season_points_before_race,0.0050005903,0.0050005903
constructor_championship_position_mean_hist,0.004855849,0.004855849
driver_last_5_avg_finish_position,0.0047974586,0.0047974586
constructor_similar_circuit_finish_position_mean_hist,0.0047643334,0.0047643334
driver_circuit_pit_stop_count_mean_hist,0.0047561103,0.0047561103
constructor_last_3_avg_finish_position,0.004499495,0.004499495
driver_last_3_avg_finish_position,0.0044005653,0.0044005653
q1_ms,0.0043202313,0.0043202313
constructor_points_prev,0.0042664018,0.0042664018
constructor_aero_profile_dnf_rate_hist,0.0042065233,0.0042065233
circuit_lng,0.004011304,0.004011304
constructor_last_10_dnf_rate,0.0039143334,0.0039143334
driver_similar_circuit_finish_position_mean_hist,0.0038738328,0.0038738328
circuit_lat,0.003797019,0.003797019
circuit_aero_load_score,0.003778236,0.003778236
q3_ms,0.0037706606,0.0037706606
driver_circuit_wins_hist,0.0037284081,0.0037284081
constructor_similar_circuit_top10_rate_hist,0.0036814085,0.0036814085
circuit_alt,0.0036590602,0.0036590602
constructorId,0.0036537985,0.0036537985
driver_circuit_finish_position_mean_hist,0.003629308,0.003629308
driver_circuit_best_lap_hist,0.0036000828,0.0036000828
driver_last_5_dnf_rate,0.0035910225,0.0035910225
constructor_circuit_dnf_rate_hist,0.0034738455,0.0034738455
driver_circuit_race_lap_time_total_mean_hist,0.003455569,0.003455569
driver_similar_circuit_top10_rate_hist,0.0034192696,0.0034192696
constructor_last_10_qualy_finish_delta,0.0034012147,0.0034012147
constructor_circuit_finish_position_mean_hist,0.0033847054,0.0033847054
constructor_last_5_qualy_finish_delta,0.0033655358,0.0033655358
driver_last_10_top10_rate,0.0033589718,0.0033589718
qualifying_gap_to_pole_ms,0.0033314882,0.0033314882
constructor_speed_profile_dnf_rate_hist,0.003232788,0.003232788
constructor_circuit_wins_hist,0.003220914,0.003220914
driver_last_10_qualy_finish_delta,0.0031805562,0.0031805562
driver_last_3_top3_rate,0.0031525986,0.0031525986
constructor_last_5_avg_finish_position,0.0031165548,0.0031165548
driver_similar_circuit_dnf_rate_hist,0.003077353,0.003077353
constructor_similar_circuit_dnf_rate_hist,0.0030731251,0.0030731251
constructor_aero_profile_finish_position_mean_hist,0.0030610221,0.0030610221
constructor_last_10_avg_finish_position,0.003006014,0.003006014
driver_last_3_dnf_rate,0.0029921848,0.0029921848
driver_last_5_qualy_finish_delta,0.0029876349,0.0029876349
constructor_street_dnf_rate_hist,0.002925718,0.002925718
constructor_circuit_top10_rate_hist,0.0028935398,0.0028935398
driver_circuit_lap_time_std_hist,0.0028387816,0.0028387816
constructor_season_points_before_race,0.0026975938,0.0026975938
driverId,0.0026366224,0.0026366224
driver_circuit_dnf_rate_hist,0.002603408,0.002603408
circuit_speed_score,0.00249884,0.00249884
constructor_last_5_dnf_rate,0.002431926,0.002431926
driver_last_3_qualy_finish_delta,0.0024317068,0.0024317068
driver_circuit_laps_completed_mean_hist,0.002413848,0.002413848
driver_circuit_pit_stop_count_min_hist,0.0023766009,0.0023766009
driver_circuit_lap_time_mean_hist,0.0023312694,0.0023312694
driver_circuit_worst_lap_hist,0.002137354,0.002137354
constructor_last_3_qualy_finish_delta,0.0019524551,0.0019524551
constructor_last_3_dnf_rate,0.0017807401,0.0017807401
driver_circuit_pit_time_mean_hist,0.0013825076,0.0013825076
constructor_sprint_last_3_avg_finish_position,0.0,0.0
constructor_sprint_last_3_points,0.0,0.0
constructor_pair_last_5_both_top10_rate,0.0,0.0
constructor_pair_last_3_double_dnf_rate,0.0,0.0
constructor_pair_last_3_both_top10_rate,0.0,0.0
circuit_is_street,0.0,0.0
circuit_corner_density_score,0.0,0.0
constructor_sprint_finish_position_mean_hist,0.0,0.0
constructor_sprint_dnf_rate_hist,0.0,0.0
constructor_pair_last_5_double_dnf_rate,0.0,0.0
constructor_sprint_last_3_top8_rate,0.0,0.0
constructor_sprint_points_mean_hist,0.0,0.0
constructor_sprint_start_count_hist,0.0,0.0
driver_circuit_pit_stop_count_max_hist,0.0,0.0
constructor_sprint_last_3_top3_rate,0.0,0.0
constructor_sprint_top3_rate_hist,0.0,0.0
constructor_sprint_top8_rate_hist,0.0,0.0
driver_sprint_finish_position_mean_hist,0.0,0.0
driver_sprint_dnf_rate_hist,0.0,0.0
driver_last_3_top10_rate,0.0,0.0
driver_sprint_last_3_avg_finish_position,0.0,0.0
driver_sprint_top8_rate_hist,0.0,0.0
driver_sprint_top3_rate_hist,0.0,0.0
driver_sprint_start_count_hist,0.0,0.0
driver_sprint_points_mean_hist,0.0,0.0
driver_sprint_last_3_top8_rate,0.0,0.0
driver_sprint_last_3_top3_rate,0.0,0.0
driver_sprint_last_3_points,0.0,0.0
q2_ms,0.0,0.0
