original_feature,importance,importance_pct
red_last_10_avg_sig_landed_against,0.03524128,0.035241283
red_career_avg_sig_landed_against,0.011064388,0.011064389
red_last_3_avg_ctrl_seconds_against,0.010988307,0.010988308
blue_last_10_avg_sig_landed_for,0.009569501,0.0095695015
blue_reach_inches,0.0076255254,0.007625526
blue_career_avg_sig_attempted_for,0.006655834,0.0066558346
diff_age_years,0.006622431,0.0066224313
red_last_10_avg_win,0.0065808264,0.006580827
diff_last_3_avg_ctrl_seconds_for,0.006493975,0.0064939754
red_career_avg_ctrl_seconds_against,0.0061953356,0.006195336
red_career_win_rate,0.005526231,0.0055262316
blue_last_10_avg_sig_attempted_for,0.005494688,0.0054946886
blue_last_3_avg_sig_attempted_for,0.004570002,0.0045700027
blue_last_3_avg_sig_landed_for,0.004448689,0.0044486895
blue_last_10_avg_td_attempted_for,0.0043978547,0.004397855
red_last_10_avg_ctrl_seconds_for,0.00435138,0.0043513803
diff_last_10_avg_win,0.004309198,0.0043091984
red_last_5_avg_ctrl_seconds_against,0.004285222,0.0042852224
red_last_10_avg_finish_win,0.0042717736,0.004271774
red_last_10_avg_ctrl_seconds_against,0.00426569,0.0042656907
diff_reach_inches,0.004264514,0.0042645144
diff_last_10_avg_total_str_landed_against,0.0041490975,0.004149098
blue_last_5_avg_decision_win,0.0040774266,0.004077427
stance_matchup_Unknown_vs_Orthodox,0.003979931,0.0039799316
diff_last_3_avg_sig_attempted_for,0.0038550645,0.0038550647
red_career_wins,0.0038047119,0.003804712
red_last_10_avg_submission_win,0.003790148,0.0037901483
red_last_5_sig_acc_against,0.0037703128,0.003770313
blue_career_avg_sub_att_for,0.0036134857,0.003613486
diff_last_10_avg_total_str_attempted_against,0.0035311289,0.003531129
diff_last_5_avg_td_success_for,0.0034661049,0.003466105
blue_weight_lbs,0.0034598308,0.003459831
red_stance_Unknown,0.0034319323,0.0034319325
weight_class_Open Weight,0.0034277057,0.003427706
blue_career_avg_sig_attempted_against,0.003397179,0.0033971793
red_last_3_avg_td_attempted_for,0.0033434792,0.0033434795
blue_last_5_avg_rounds_fought,0.0032985234,0.0032985236
red_last_5_avg_submission_win,0.0032975336,0.0032975338
blue_career_avg_sig_landed_for,0.0032686684,0.0032686687
red_age_years,0.0032664621,0.0032664624
diff_career_sig_acc_against,0.0032508885,0.0032508888
blue_career_wins,0.0032133255,0.0032133257
diff_last_5_avg_sig_landed_for,0.0032040651,0.0032040654
red_last_3_avg_td_success_for,0.0031999103,0.0031999105
diff_last_5_avg_fight_duration_seconds,0.0031881446,0.0031881449
red_last_10_avg_sub_att_for,0.0031675675,0.0031675678
red_last_10_avg_td_success_for,0.0031239484,0.0031239486
red_career_avg_finish_loss,0.0030761969,0.003076197
blue_career_fights,0.0030397594,0.0030397596
red_career_td_acc_for,0.0030200495,0.0030200498
diff_last_3_avg_finish_loss,0.0029921497,0.00299215
red_last_3_sig_acc_against,0.0029871797,0.00298718
diff_last_3_avg_sig_landed_for,0.0029715216,0.0029715218
blue_career_avg_fight_duration_seconds,0.0029682147,0.002968215
red_last_3_avg_rounds_fought,0.0029610163,0.0029610165
red_career_losses,0.002947065,0.0029470653
red_career_finish_loss_rate,0.0029422771,0.0029422774
title_fight,0.002924756,0.0029247561
red_last_10_fight_count,0.002924027,0.0029240272
red_last_5_avg_td_success_for,0.0029103186,0.0029103188
blue_last_3_avg_fight_duration_seconds,0.0028925226,0.0028925228
red_last_10_td_acc_for,0.0028904176,0.0028904178
red_last_5_avg_win,0.0028862047,0.002886205
diff_career_avg_ctrl_seconds_against,0.0028824417,0.002882442
diff_last_5_avg_sig_attempted_for,0.0028802322,0.0028802324
diff_career_avg_rev_against,0.0028798236,0.0028798238
red_career_avg_td_success_for,0.0028686626,0.0028686628
red_weight_lbs,0.0028686067,0.002868607
diff_last_10_avg_submission_loss,0.002866824,0.0028668242
diff_last_3_avg_decision_loss,0.0028259177,0.002825918
blue_career_win_rate,0.0028131844,0.0028131846
red_career_avg_sub_att_for,0.0028127052,0.0028127055
diff_last_10_avg_decision_loss,0.0027950292,0.0027950294
diff_last_10_avg_sub_att_for,0.0027921926,0.0027921929
red_career_avg_ko_tko_loss,0.0027902566,0.0027902569
blue_last_5_avg_ctrl_seconds_for,0.0027881372,0.0027881374
blue_last_5_avg_sig_landed_for,0.002782049,0.0027820491
red_last_5_avg_ko_tko_loss,0.0027714856,0.0027714858
blue_last_3_avg_decision_loss,0.0027681743,0.0027681745
blue_last_3_td_acc_for,0.0027585456,0.0027585458
blue_last_3_avg_ctrl_seconds_for,0.0027389727,0.002738973
blue_career_td_acc_for,0.00272474,0.0027247402
diff_weight_lbs,0.0027104975,0.0027104977
red_career_avg_td_success_against,0.0026950634,0.0026950636
red_reach_inches,0.0026941714,0.0026941716
