raceId,driverId,duplicate_rows,differing_columns
540,229,2,"resultId, constructorId, number, positionOrder, statusId"
717,373,2,"resultId, number, position, positionText, positionOrder, laps, statusId"
733,465,2,"resultId, constructorId, number, positionOrder"
742,475,2,"resultId, constructorId, number, grid, positionText, positionOrder, laps, statusId"
745,418,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
746,475,2,"resultId, number, grid, position, positionText, positionOrder, laps, time, milliseconds, statusId"
766,541,2,"resultId, constructorId, number, positionOrder"
770,479,2,"resultId, number, grid, positionOrder, laps"
774,566,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
776,581,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
777,501,2,"resultId, number, grid, positionOrder, laps, statusId"
777,578,2,"resultId, number, grid, positionOrder, laps, statusId"
779,356,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
780,475,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
780,479,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
780,581,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
783,501,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
784,579,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
785,579,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
785,608,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
787,475,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
788,475,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
788,501,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
788,624,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, laps, statusId"
789,581,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
789,606,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
791,554,2,"resultId, number, grid, positionOrder, laps, statusId"
791,579,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
791,608,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
792,427,3,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
792,475,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
792,496,2,"resultId, number, grid, positionOrder, laps, statusId"
792,501,3,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
792,554,3,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
792,577,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
792,633,2,"resultId, number, grid, positionOrder, laps, statusId"
792,642,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
792,644,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
792,648,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
793,554,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
793,607,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
