resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
13189,540,229,54,10.0,0.0,,F,26,0.0,0,,,,,,,81
13192,540,229,57,23.0,0.0,,F,29,0.0,0,,,,,,,97
17363,717,373,172,1.0,1.0,7.0,7,7,0.0,102,,,,,,,60
24304,717,373,172,2.0,1.0,,R,12,0.0,54,,,,,,,98
17741,733,465,172,48.0,0.0,,W,22,0.0,0,,,,,,,54
17744,733,465,97,50.0,0.0,,W,25,0.0,0,,,,,,,54
17962,742,475,102,26.0,20.0,,D,19,0.0,56,,,,,,,2
17964,742,475,172,28.0,5.0,,R,21,0.0,44,,,,,,,23
18063,745,418,172,22.0,11.0,,R,17,0.0,23,,,,,,,6
24303,745,418,172,21.0,15.0,11.0,11,11,0.0,92,,,,,,,18
18083,746,475,170,36.0,1.0,,R,17,0.0,40,,,,,,,22
22372,746,475,170,38.0,8.0,3.0,3,3,0.0,80,+36.9,8306400.0,,,,,1
18510,766,541,87,22.0,0.0,,F,17,0.0,0,,,,,,,81
18520,766,541,66,10.0,0.0,,F,27,0.0,0,,,,,,,81
18612,770,479,118,10.0,5.0,,R,18,0.0,16,,,,,,,5
20296,770,479,118,12.0,10.0,,R,14,0.0,35,,,,,,,5
18694,774,566,105,34.0,17.0,,R,18,0.0,1,,,,,,,64
20297,774,566,105,32.0,11.0,4.0,4,4,0.0,69,,,,,,,11
18736,776,581,6,10.0,5.0,,R,14,0.0,26,,,,,,,8
20286,776,581,6,18.0,11.0,6.0,6,6,0.0,98,,,,,,,12
18748,777,501,105,38.0,8.0,,R,12,0.0,23,,,,,,,22
20289,777,501,105,34.0,14.0,,R,8,0.0,64,,,,,,,44
18752,777,578,6,28.0,5.0,,R,16,0.0,4,,,,,,,3
20288,777,578,6,24.0,9.0,,R,7,0.0,95,,,,,,,5
18803,779,356,87,22.0,13.0,,R,13,0.0,4,,,,,,,3
20290,779,356,87,24.0,15.0,7.0,7,7,0.0,68,,,,,,,19
18817,780,475,118,18.0,1.0,,R,12,0.0,51,,,,,,,5
20291,780,475,118,20.0,3.0,1.0,1,1,5.0,90,3:06:37.8,11197800.0,,,,,1
18806,780,479,118,20.0,3.0,1.0,1,1,4.0,90,3:06:37.8,11197800.0,,,,,1
20293,780,479,118,18.0,1.0,,R,12,0.0,51,,,,,,,5
18816,780,581,6,12.0,8.0,,R,11,0.0,53,,,,,,,47
20292,780,581,6,16.0,9.0,4.0,4,4,0.0,88,,,,,,,12
18880,783,501,105,4.0,6.0,,R,16,0.0,34,,,,,,,44
20294,783,501,105,8.0,12.0,5.0,5,5,1.0,84,,,,,,,13
18895,784,579,6,30.0,1.0,,R,13,0.0,22,,,,,,,48
20267,784,579,6,34.0,3.0,1.0,1,1,5.0,98,3:00:03.7,10803700.0,,,,,1
18899,785,579,6,20.0,1.0,4.0,4,4,1.5,99,,,,,,,11
20270,785,579,6,26.0,9.0,2.0,2,2,4.0,100,+6.1,10839000.0,,,,,1
18906,785,608,6,22.0,3.0,,R,11,0.0,14,,,,,,,8
20271,785,608,6,20.0,1.0,4.0,4,4,1.5,99,,,,,,,11
18957,787,475,105,30.0,2.0,,R,11,0.0,10,,,,,,,36
20274,787,475,105,34.0,9.0,3.0,3,3,3.0,36,+3:16.6,9796900.0,,,,,1
18979,788,475,105,2.0,8.0,,R,18,0.0,12,,,,,,,6
20275,788,475,105,6.0,13.0,5.0,5,5,1.0,59,,,,,,,12
18980,788,501,118,22.0,4.0,,R,19,0.0,5,,,,,,,5
20276,788,501,118,24.0,6.0,10.0,10,10,0.0,56,,,,,,,15
18969,788,624,128,32.0,14.0,8.0,8,8,0.0,57,,,,,,,14
18974,788,624,105,8.0,16.0,,R,13,0.0,40,,,,,,,5
18998,789,581,6,2.0,4.0,,R,17,0.0,64,,,,,,,51
20277,789,581,6,4.0,12.0,2.0,2,2,3.0,100,,,,,,,11
18983,789,606,6,4.0,12.0,2.0,2,2,3.0,100,,,,,,,11
20278,789,606,6,3.0,8.0,10.0,10,10,0.0,92,,,,,,,19
19046,791,554,105,32.0,5.0,,R,15,0.0,23,,,,,,,121
20283,791,554,105,46.0,13.0,,R,13,0.0,42,,,,,,,38
19039,791,579,6,22.0,1.0,8.0,8,8,0.0,46,,,,,,,14
20281,791,579,6,26.0,7.0,2.0,2,2,3.0,50,+5.7,8627000.0,,,,,1
19050,791,608,6,24.0,2.0,,R,19,0.0,9,,,,,,,27
20282,791,608,6,22.0,1.0,8.0,8,8,0.0,46,,,,,,,14
19067,792,427,6,14.0,14.0,,R,11,0.0,36,,,,,,,5
20245,792,427,6,12.0,1.0,2.0,2,2,2.0,96,+1:29.6,10928200.0,,,,,1
20246,792,427,6,10.0,5.0,3.0,3,3,1.33,94,,,,,,,12
19069,792,475,131,6.0,8.0,,R,13,0.0,29,,,,,,,69
20249,792,475,131,8.0,10.0,4.0,4,4,1.0,94,,,,,,,12
19077,792,496,105,24.0,13.0,,R,21,0.0,1,,,,,,,3
20256,792,496,105,26.0,20.0,,R,9,0.0,54,,,,,,,32
19062,792,501,105,28.0,7.0,6.0,6,6,0.0,88,,,,,,,18
20252,792,501,105,22.0,18.0,7.0,7,7,0.0,83,,,,,,,53
20255,792,501,105,26.0,20.0,,R,9,0.0,54,,,,,,,32
19073,792,554,105,16.0,4.0,,R,17,0.0,2,,,,,,,3
20250,792,554,105,28.0,7.0,6.0,6,6,0.0,88,,,,,,,18
20253,792,554,105,20.0,19.0,,R,8,0.0,54,,,,,,,5
19063,792,577,105,22.0,18.0,7.0,7,7,0.0,83,,,,,,,53
20254,792,577,105,20.0,19.0,,R,8,0.0,54,,,,,,,5
19075,792,633,132,34.0,11.0,,R,19,0.0,2,,,,,,,95
20257,792,633,132,36.0,12.0,,R,12,0.0,35,,,,,,,3
19059,792,642,6,10.0,5.0,3.0,3,3,1.33,94,,,,,,,12
20244,792,642,6,12.0,1.0,2.0,2,2,2.0,96,+1:29.6,10928200.0,,,,,1
19064,792,644,105,20.0,19.0,,R,8,0.0,54,,,,,,,5
20251,792,644,105,22.0,18.0,7.0,7,7,0.0,83,,,,,,,53
19074,792,648,131,4.0,6.0,,R,18,0.0,2,,,,,,,3
20248,792,648,131,8.0,10.0,4.0,4,4,1.0,94,,,,,,,12
19080,793,554,105,34.0,5.0,3.0,3,3,2.0,99,,,,,,,11
20260,793,554,105,40.0,11.0,,R,10,0.0,86,,,,,,,20
19087,793,607,105,40.0,11.0,,R,10,0.0,86,,,,,,,20
20258,793,607,105,34.0,5.0,3.0,3,3,2.0,99,,,,,,,11
19146,795,554,105,20.0,5.0,,R,13,0.0,3,,,,,,,20
20263,795,554,105,24.0,13.0,5.0,5,5,1.0,35,,,,,,,11
19183,797,501,118,30.0,7.0,,R,18,0.0,20,,,,,,,37
20265,797,501,118,28.0,15.0,9.0,9,9,0.0,72,,,,,,,114
19186,797,608,6,20.0,10.0,,R,21,0.0,16,,,,,,,7
20264,797,608,6,16.0,12.0,6.0,6,6,0.0,87,,,,,,,13
19259,800,509,113,38.0,28.0,,R,28,0.0,110,,,,,,,3
20229,800,509,113,1.0,10.0,,R,20,0.0,191,,,,,,,20
19246,800,518,113,16.0,8.0,15.0,15,15,0.0,196,,,,,,,14
20216,800,518,113,34.0,11.0,4.0,4,4,1.5,200,+2:52.68,13929950.0,,,,,1
19260,800,529,113,10.0,21.0,,R,29,0.0,105,,,,,,,67
20225,800,529,113,16.0,8.0,15.0,15,15,0.0,196,,,,,,,14
19258,800,556,113,19.0,2.0,,R,27,0.0,111,,,,,,,3
